q,epsilon,d,E_n
1.3,1.54,1.26,0.041585011413930596
4.220000000000001,2.62,2.06,0.1575425158540193
3.7800000000000002,2.8200000000000003,3.94,0.06140159544427685
1.18,1.7,3.58,0.010923792774950133
1.26,4.18,1.02,0.017778946499626587
4.34,2.58,2.8200000000000003,0.12360955162880187
2.42,3.14,3.46,0.025737500701098332
1.46,4.220000000000001,2.26,0.010671518161347694
4.46,2.54,4.58,0.08164167553227174
2.8600000000000003,4.9,1.7,0.04688440957435057
3.1,3.86,3.54,0.033579498619327186
3.22,1.22,1.38,0.294045280105846
1.7,2.34,2.94,0.020057464919569928
2.46,3.06,3.3,0.028613845918446634
4.300000000000001,2.9,2.58,0.11799418194743967
2.26,4.300000000000001,1.9,0.029849441395452793
3.58,2.74,1.06,0.2106934388489499
4.1,4.7,4.9,0.03485099340045281
1.6600000000000001,3.2600000000000002,3.7800000000000002,0.010676973443958194
4.98,1.46,3.02,0.2685593475453308
1.58,4.26,3.8200000000000003,0.007324577832287581
3.34,1.94,1.74,0.1577914044752886
2.38,1.62,3.1,0.053854077637379434
4.859999999999999,1.6600000000000001,3.7,0.1836132901589057
1.74,1.98,2.7,0.027040264068744234
3.94,1.78,3.38,0.123196147592315
3.8200000000000003,2.66,1.98,0.13228825424778842
3.42,3.34,2.1,0.07962103833960839
2.2199999999999998,1.74,4.38,0.03087620931877251
4.62,4.42,4.0600000000000005,0.056790675512069816
2.66,4.54,1.18,0.06306186339922057
1.22,1.58,1.94,0.023184740046128506
2.58,1.1400000000000001,1.3399999999999999,0.20805164241887122
1.98,4.34,2.54,0.016980415805112663
3.62,2.46,2.7800000000000002,0.09149105265193162
3.3,3.02,1.46,0.11792597275723987
3.7,1.3399999999999999,2.9,0.16820621494555182
1.1400000000000001,3.58,3.34,0.005189453150626248
2.1799999999999997,4.66,4.66,0.010449187932406977
4.54,4.38,4.859999999999999,0.04623200328418894
3.66,3.22,1.5,0.13242086681253376
2.1,2.94,3.66,0.01956823070801992
2.9,3.74,4.82,0.022275052778133218
3.2600000000000002,1.18,4.26,0.10094503898325538
2.98,2.98,2.8600000000000003,0.04974983186159245
4.02,4.1,4.220000000000001,0.044596131239317965
1.3399999999999999,1.1,4.74,0.016442958332324918
4.7,1.26,2.62,0.31949588266993534
4.66,2.3,3.86,0.11678796177764236
1.42,1.3,1.3,0.056968052174644575
2.3,2.7,1.58,0.0592074296031031
2.14,2.8600000000000003,3.14,0.024348558328703973
1.94,3.7,4.9399999999999995,0.00983141827039048
2.94,4.82,4.18,0.020483903781727444
2.54,3.7800000000000002,3.98,0.02047547321631315
3.18,4.98,2.3,0.042153966645429086
1.38,3.46,1.1,0.02389080454210762
3.5,4.62,2.74,0.04620457040657214
3.9,3.3,4.46,0.049342574081282675
1.78,2.06,4.54,0.016175522487030962
3.98,3.98,1.82,0.1044126384899577
2.7,4.58,3.22,0.02360193255458347
2.8200000000000003,4.140000000000001,3.62,0.025335570691087928
4.38,3.38,2.34,0.11581293014156263
2.7800000000000002,4.5,2.1799999999999997,0.0376150783544772
4.0600000000000005,4.46,2.14,0.08246028309635701
4.9,1.9,4.78,0.12622693845969193
2.06,4.78,2.38,0.017810289278807897
1.8599999999999999,2.38,2.42,0.02867972295579838
1.9,3.9,3.2600000000000002,0.013557086941051016
2.5,2.26,1.1400000000000001,0.11582654801168443
4.18,3.8200000000000003,4.42,0.04940925637296258
3.38,1.02,1.54,0.3472593070777404
1.82,2.14,2.5,0.029561766364351077
4.74,2.2199999999999998,3.9,0.12390261952222689
3.54,4.859999999999999,1.62,0.07599703112522464
4.42,2.42,2.98,0.1293463848613555
4.78,1.38,4.98,0.15874086789509612
3.14,3.94,1.8599999999999999,0.0642379268425107
4.9399999999999995,2.5,4.5,0.10357209517966336
1.62,3.5,1.22,0.029345636954358562
2.74,3.62,4.34,0.022816247118352603
4.5,2.02,1.42,0.33707512176937116
4.140000000000001,1.8599999999999999,3.18,0.1383572764565759
3.86,3.54,4.62,0.04349814715114836
3.02,3.66,2.66,0.044729346202863375
2.34,4.0600000000000005,2.2199999999999998,0.029006417467513715
1.02,1.06,4.1,0.011430152056567505
2.62,4.74,2.46,0.028108037237830768
3.74,4.9399999999999995,4.140000000000001,0.03265557240497852
4.58,3.42,4.02,0.07284842777936708
1.06,1.5,1.6600000000000001,0.021545360729885978
4.26,1.42,4.7,0.12982979825836738
1.54,3.18,4.300000000000001,0.008281085191679222
2.02,3.1,1.78,0.03530713101443474
3.46,4.02,2.02,0.07039084220182262
1.1,2.1799999999999997,3.06,0.008660617068771066
1.5,1.82,3.42,0.017259428472949898
3.06,2.1,3.74,0.0569237289967636
4.82,2.7800000000000002,3.5,0.11400466495030266
