mom,Bx,By,Bz,E_n
1.18,4.1,3.98,4.140000000000001,8.326319475014156
3.38,3.8200000000000003,1.38,1.42,14.543115281121855
1.94,2.1,1.06,1.82,5.769991819751567
1.8599999999999999,3.98,3.7,2.8600000000000003,11.421975135675964
1.62,2.02,4.98,1.9,9.234113683510726
1.1400000000000001,3.34,2.02,4.9,7.141715592208921
1.02,4.34,4.9399999999999995,2.9,7.330472541385037
2.9,4.140000000000001,1.42,1.6600000000000001,13.574850128086132
1.78,4.38,1.62,3.2600000000000002,10.137627422627054
4.66,4.300000000000001,4.42,1.62,29.71121863000574
1.9,2.98,2.94,3.1,9.897158177982202
2.06,1.22,2.2199999999999998,1.26,5.828161960687091
2.1,4.62,1.46,1.1400000000000001,10.452769776475517
1.22,4.78,1.58,2.3,6.752542952103304
2.94,2.14,4.859999999999999,4.26,20.015074331113535
4.74,3.2600000000000002,3.62,4.220000000000001,30.550173338951783
2.58,3.86,2.14,4.7,16.63433866674597
3.66,1.3399999999999999,2.1,3.62,16.08319110127092
2.74,3.42,1.94,4.38,16.127501277011266
3.86,2.38,4.1,1.7,19.440149542634696
3.34,2.8600000000000003,4.7,2.14,19.717092471254478
1.42,3.22,2.7800000000000002,4.34,8.629628691896308
1.3399999999999999,1.94,3.18,4.859999999999999,8.205309217817447
2.8600000000000003,2.46,3.38,4.300000000000001,17.151894752475602
4.46,3.5,4.18,1.46,25.17194919746979
3.94,1.7,1.1400000000000001,3.22,15.033049218305647
2.02,3.62,2.58,1.94,9.797395662113479
3.22,1.9,3.42,3.9,17.787811606827862
4.5,3.18,1.74,1.22,17.211191126705902
2.1799999999999997,1.54,1.1,4.42,10.48169753427373
4.82,1.1400000000000001,1.82,3.58,20.12221558775276
1.26,3.3,4.78,2.34,7.890256421688715
4.38,3.74,4.74,1.54,27.29228575843365
3.9,2.54,3.46,2.42,19.216990295048806
1.6600000000000001,4.18,2.46,3.14,9.591238093176502
2.42,4.98,4.62,1.18,16.685228739217212
4.300000000000001,3.46,3.8200000000000003,3.7,27.281797228188623
4.859999999999999,3.94,1.18,2.94,24.57046047920144
1.98,3.38,3.3,4.54,12.972551422137435
2.7800000000000002,2.5,3.34,3.98,16.029297751305265
4.02,4.26,1.02,3.66,22.94698257810817
1.54,4.54,2.38,1.1,8.073772203871
1.1,1.74,2.06,2.02,3.7061349138961472
2.2199999999999998,4.02,3.22,2.66,12.869185093081844
2.98,1.26,2.9,3.54,14.14455045874559
3.54,4.859999999999999,2.3,4.0600000000000005,23.850564461244936
4.18,1.02,4.0600000000000005,2.8200000000000003,21.098195452692156
4.1,2.58,4.300000000000001,2.7800000000000002,23.507985621911548
3.58,4.58,4.02,3.3,24.809890759936852
2.34,4.46,2.98,4.46,16.3236763065187
3.06,1.6600000000000001,4.46,1.58,15.343878680438008
4.58,4.42,1.8599999999999999,2.46,24.684288052119307
1.5,2.3,4.38,1.74,7.866352394852394
3.5,2.42,3.2600000000000002,3.18,18.05009418257977
4.62,1.5,4.58,2.7,25.521642740231282
3.8200000000000003,2.66,4.5,3.86,24.822711545679294
3.7800000000000002,2.26,4.34,2.1,20.127639277371802
1.7,1.38,3.5,2.54,7.716951470626207
2.26,4.74,2.34,2.2199999999999998,12.957429689564208
4.0600000000000005,2.74,2.62,1.06,15.981967092945727
4.7,3.66,2.1799999999999997,3.5,25.91315920531497
1.74,1.78,4.9,2.74,10.247698941713697
3.74,2.94,4.26,2.26,21.123154472758088
2.7,2.9,3.94,2.38,14.689091871181144
2.8200000000000003,3.14,4.66,4.98,21.173599633505873
1.06,2.62,1.5,3.34,4.7723549742239415
1.82,2.1799999999999997,2.26,1.38,6.24246734552933
1.38,3.54,3.66,4.1,9.02156991216052
3.1,4.220000000000001,3.06,4.82,22.008777430834275
2.5,3.02,1.26,2.62,10.479861640308044
4.34,2.7800000000000002,1.54,2.1799999999999997,16.725844236988458
3.14,1.06,1.9,1.3,7.958274094299593
4.220000000000001,3.58,3.58,3.8200000000000003,26.764649291182582
4.42,2.34,1.78,1.3399999999999999,14.281183474768468
3.42,1.42,1.3399999999999999,3.46,13.587174063800022
3.2600000000000002,2.2199999999999998,1.22,1.8599999999999999,10.245117307283504
2.38,1.1,3.74,4.78,14.680182641915598
2.62,1.46,2.74,1.98,9.647720883193086
4.140000000000001,3.1,2.8600000000000003,1.02,17.96492883370263
4.26,1.3,4.140000000000001,4.62,27.001142242505225
2.66,1.8599999999999999,3.9,4.5,16.594563018049016
1.58,4.9,4.54,4.9399999999999995,13.126862126189945
2.14,1.18,3.1,3.74,10.69785978595719
3.18,2.06,4.82,4.58,22.13526710387747
4.9399999999999995,4.66,2.5,4.74,35.082070057509426
2.46,4.9399999999999995,3.02,1.78,14.901265981117172
1.3,4.7,4.220000000000001,3.38,9.313191289778173
3.02,1.58,1.98,4.66,16.018075444946565
4.54,3.7800000000000002,3.86,2.5,27.026540303930876
2.54,3.9,1.3,3.7800000000000002,14.185030188194878
3.98,1.98,2.66,3.42,18.959343157398678
3.7,4.5,3.14,2.06,21.686293090337042
3.62,3.06,2.7,4.02,20.7366289835161
1.46,2.8200000000000003,2.54,3.06,7.117795737445688
3.3,2.7,3.54,1.5,15.503539079835933
4.98,4.82,1.6600000000000001,3.02,29.50766617948631
3.46,3.7,2.8200000000000003,2.58,18.406029286079058
4.78,1.82,1.7,4.18,23.25792983736945
2.3,1.62,3.7800000000000002,2.98,11.681011428810434
4.9,4.0600000000000005,2.42,3.94,30.151368725150775
