n,h,L
4.38,1.42,0.9898800840543521
4.78,4.78,3.6364358017408622
1.9,4.1,1.2398170066858645
1.8599999999999999,2.8600000000000003,0.8466406352716465
4.34,2.9,2.0031241137545948
3.1,4.38,2.161005817301755
4.220000000000001,2.7,1.813411421589056
4.54,2.1799999999999997,1.5751883027691063
3.06,4.34,2.113641306237607
1.5,1.98,0.47269018098292914
2.98,2.14,1.0149629030856349
4.9,3.62,2.8230903805640395
2.8200000000000003,4.66,2.0914869381592154
1.06,4.140000000000001,0.6984355522644736
2.46,1.8599999999999999,0.7282293576112762
1.3399999999999999,3.46,0.7379059781512635
4.66,2.94,2.180486382336203
2.62,1.94,0.8089527447474857
4.859999999999999,1.06,0.819902604832208
3.8200000000000003,3.5,2.127901589138641
4.98,1.5,1.1888874248964583
2.26,3.7800000000000002,1.3596288478454435
2.66,3.54,1.4986666061305234
4.46,1.3399999999999999,0.9511736018944033
3.38,3.38,1.8182497318590491
2.1799999999999997,2.54,0.8812727508884428
2.74,4.5,1.9623804483230696
2.14,2.8200000000000003,0.9604682505709702
2.5,2.62,1.0424648772519145
1.74,1.26,0.3489312972346713
2.8600000000000003,1.1,0.5007014509671028
3.46,1.1400000000000001,0.6277707575316721
3.66,3.74,2.1785765230191
2.54,2.3,0.9297831775428526
3.22,2.34,1.199200665208813
4.58,2.7800000000000002,2.0264243974232485
1.78,1.02,0.2889617146776452
3.18,4.98,2.5204413407804918
3.02,2.66,1.2785234888458137
1.7,3.98,1.076842344959764
4.5,1.9,1.3607747634357052
4.1,3.06,1.9967579160309188
3.62,1.62,0.9333482482681111
2.7800000000000002,2.74,1.2123150325195853
1.02,1.46,0.23701354125245055
3.86,4.58,2.8136684079329997
3.7,2.1,1.236633907824027
1.26,4.42,0.8863657090673835
3.74,2.06,1.2261933435571986
1.54,3.22,0.7892175318040907
1.6600000000000001,2.42,0.639357237388762
4.140000000000001,3.14,2.0689505982174032
2.94,2.02,0.9451893760341481
4.74,3.58,2.7007320603149907
3.9,3.34,2.0731522887150287
1.82,3.1,0.8979521889244736
3.42,2.98,1.6220435180153605
1.42,3.2600000000000002,0.7367600625610019
4.18,3.9,2.5945438822840776
2.1,4.9,1.6377043644156033
2.58,4.300000000000001,1.765664938661487
3.98,2.5,1.5835916837643587
1.94,3.86,1.1918158758493491
2.42,1.82,0.7009820313539439
2.3,4.26,1.5594001324143902
3.54,1.54,0.8676490877597767
3.5,3.42,1.9050846688099872
4.9399999999999995,2.46,1.9341145304299487
1.58,4.0600000000000005,1.0209471289458902
1.18,4.62,0.8676490877597766
4.300000000000001,2.2199999999999998,1.519293086755233
1.98,3.7,1.1659691130912253
1.22,2.38,0.4621222927616273
3.2600000000000002,4.9399999999999995,2.5630948655291195
3.34,3.94,2.094415389112106
2.38,1.6600000000000001,0.6287893491674601
1.1,4.18,0.7317944283365347
2.34,1.7,0.6331183636195596
1.38,1.18,0.2591679093308423
3.14,1.58,0.7895995036675113
1.3,3.66,0.7572592192312381
4.42,3.18,2.237018218122444
2.02,4.02,1.292401799883427
1.62,4.7,1.2118057367016912
3.3,3.8200000000000003,2.006307212616433
3.94,2.26,1.4171792752674728
2.9,3.02,1.3938789915988195
2.7,4.82,2.0712424293979264
2.2199999999999998,4.859999999999999,1.7171545120070768
1.46,3.3,0.7668085158167517
4.62,4.54,3.3382431003638864
2.06,2.58,0.8458766915448054
4.02,1.3,0.831743732598245
4.82,4.220000000000001,3.2372752044663886
3.7800000000000002,1.78,1.0708581190995086
4.26,4.74,3.2137202728887875
4.7,1.38,1.0322789608940333
3.58,1.74,0.9914079715080344
4.0600000000000005,1.22,0.7883262641227762
1.1400000000000001,4.46,0.8092073926564328
