E_n,d,k,h,v
3.06,2.1799999999999997,4.300000000000001,1.74,451.6099324791152
3.2600000000000002,3.14,4.26,2.5,688.2660547008682
2.5,3.98,1.58,4.78,164.49216139430865
2.42,3.5,3.46,1.46,882.8452032499073
4.58,2.8200000000000003,4.1,2.98,629.7108137380612
2.9,4.74,1.22,2.2199999999999998,449.95740297878075
1.6600000000000001,2.1,4.58,4.5,93.62881045671293
4.7,3.9,3.3,4.46,664.6852128158498
2.02,1.42,3.74,3.1,61.75154537706002
4.78,4.859999999999999,3.54,2.8200000000000003,1781.002187431704
4.74,4.34,3.7800000000000002,4.54,934.1220240961138
2.46,1.98,4.02,1.02,477.64059752611075
1.8599999999999999,2.26,1.1,4.7,27.940521882786648
3.66,1.3,4.98,3.9,99.25271369598079
1.26,4.98,4.9,2.74,702.2384612410938
4.02,4.140000000000001,2.8200000000000003,4.74,515.1187592256533
4.9399999999999995,2.34,1.8599999999999999,2.54,248.91310100449022
1.58,1.94,3.02,3.7,60.992386926150026
2.3,3.1,3.22,2.02,442.7571568312684
1.54,4.46,3.06,4.18,281.80289281071646
1.22,4.300000000000001,4.9399999999999995,2.9,482.8759292138902
2.58,1.74,3.34,2.42,135.47500240109503
1.9,4.82,2.3,1.1,1159.8256051352146
4.46,4.78,3.66,3.66,1280.5617220592537
4.0600000000000005,4.26,2.14,4.82,411.07572452708877
3.74,1.82,2.42,1.5,251.15877092333236
3.38,1.9,2.8600000000000003,2.34,187.40619450946284
3.46,4.42,4.859999999999999,3.98,1037.2506095102851
2.74,1.78,4.54,1.78,278.2507105320006
4.220000000000001,4.0600000000000005,3.5,3.46,884.2322033963087
2.38,4.38,1.5,2.1,409.8330767039905
1.82,3.94,2.06,1.9,384.93492395279077
3.62,1.7,1.98,3.02,86.19350167706605
4.42,2.94,1.3399999999999999,2.58,249.3514434407697
2.94,2.38,4.74,1.82,545.0270564563031
4.9,3.34,4.18,4.38,655.5427957194559
1.02,3.7,2.54,3.86,115.46753533714069
1.7,4.7,1.9,1.7,527.4231410552688
3.1,1.62,1.18,3.5,34.467957589001706
3.14,1.38,2.66,1.3399999999999999,149.16760716720523
3.42,1.6600000000000001,2.7,1.3,245.96457249749727
3.54,2.7,4.46,4.9399999999999995,292.78482541264896
3.3,3.86,4.34,4.66,575.4428868808841
3.02,4.1,3.18,3.2600000000000002,622.2917456278909
1.06,1.18,1.94,4.859999999999999,7.403638490015861
3.7,1.3399999999999999,2.5,3.38,61.75107084173839
4.62,2.42,4.66,3.06,517.7821347873353
2.1799999999999997,4.58,4.62,2.7800000000000002,954.9804770704238
4.5,3.8200000000000003,3.86,1.42,2243.0970484684312
1.3,4.66,3.14,2.26,492.88574585185535
2.7800000000000002,1.8599999999999999,1.46,3.3,53.47114258104887
1.98,3.66,2.26,2.14,351.9912688027153
3.8200000000000003,2.06,2.7800000000000002,2.7,209.74359108927734
3.58,4.220000000000001,2.1,3.8200000000000003,440.42678626851625
2.7,2.58,4.82,3.54,307.5082815529574
2.54,2.54,1.82,1.58,237.20580601234553
1.46,2.8600000000000003,3.98,3.14,190.2165103842883
3.22,2.5,3.58,4.1,220.8233138629372
4.54,4.9,3.42,1.26,3718.034693137555
2.06,2.74,2.02,4.58,85.71643525811768
3.9,3.22,3.7,4.34,433.20973655170735
3.5,3.06,1.7,3.18,220.1621018595756
2.26,1.58,1.54,4.98,21.924205045965618
3.7800000000000002,4.5,1.06,3.62,281.6592290046106
3.86,4.18,2.34,4.300000000000001,461.2083209507083
2.14,3.42,3.1,4.02,242.5557029805092
2.34,1.54,2.98,4.9,42.41186273493589
4.98,3.38,3.9,3.42,815.2881092524898
4.1,2.3,1.02,1.94,143.3005425257385
1.78,1.1400000000000001,2.2199999999999998,3.94,16.379337118671152
3.34,2.98,2.46,1.62,565.9902521428975
3.18,3.62,1.74,1.6600000000000001,548.9025967087123
4.82,1.26,2.62,1.06,237.6804267437117
4.26,1.06,2.9,1.98,88.0975845815251
1.42,4.02,4.5,4.42,293.58952682612954
2.98,2.66,2.1799999999999997,4.140000000000001,139.52291905080438
4.38,2.02,1.3,1.8599999999999999,156.97016743043477
1.94,1.46,4.42,4.26,53.91752840101535
2.8600000000000003,2.2199999999999998,1.42,3.74,67.25097548676534
2.2199999999999998,4.62,1.62,3.34,288.8120687067881
2.1,4.9399999999999995,3.62,3.58,651.1913161984978
1.62,1.5,2.38,2.3,47.39761813766403
1.1400000000000001,2.14,3.38,3.7800000000000002,58.663390866407106
1.5,2.46,2.94,2.94,114.06997261478395
1.38,3.7800000000000002,1.6600000000000001,3.22,127.7393689761891
4.300000000000001,3.02,4.38,2.46,877.4678415712714
4.859999999999999,1.02,4.220000000000001,2.1799999999999997,122.99924175020982
1.1,3.58,4.7,1.18,705.6420501758331
2.66,1.1,2.74,2.62,42.29861452621812
3.98,3.18,3.2600000000000002,1.22,1351.4654436230642
4.18,3.54,1.78,4.220000000000001,277.6516260247198
4.140000000000001,3.3,2.58,1.1400000000000001,1282.1916358845217
3.94,2.7800000000000002,1.26,1.38,349.37122801732835
4.34,1.22,4.140000000000001,4.0600000000000005,82.77392752125452
2.8200000000000003,2.9,1.38,1.54,267.0627604510947
4.66,3.46,1.1400000000000001,2.06,387.95880171976273
1.18,4.54,4.0600000000000005,2.38,521.3779421099736
1.3399999999999999,3.74,3.94,2.66,348.8770906204228
1.74,2.62,3.8200000000000003,4.62,124.10322925506551
2.62,3.2600000000000002,4.78,2.8600000000000003,584.8011513176908
