I_0,q,Volt,kb,T,I
2.66,1.885,1.385,1.385,1.665,5.592021948011681
3.7800000000000002,1.405,1.565,1.395,1.655,6.017448339051056
3.94,1.905,1.2650000000000001,1.585,1.2650000000000001,9.1660436059892
2.1,1.335,1.195,1.9649999999999999,1.145,2.1673554946910962
1.1,1.445,1.8250000000000002,1.255,1.355,4.086614982425106
2.7,1.755,1.185,1.685,1.275,4.408378192523066
1.62,1.925,1.855,1.595,1.175,9.269314441862491
4.220000000000001,1.025,1.9649999999999999,1.845,1.465,4.670649337792841
4.02,1.945,1.7349999999999999,1.5150000000000001,1.855,9.337251124431182
4.54,1.035,1.435,1.295,1.575,4.863785681151623
4.18,1.365,1.655,1.015,1.045,30.988746564393647
4.859999999999999,1.305,1.525,1.545,1.445,6.991587516297506
2.46,1.195,1.225,1.155,1.035,5.910602250505941
2.94,1.955,1.845,1.565,1.385,12.585875740828872
4.300000000000001,1.375,1.695,1.465,1.945,5.44294273810656
2.9,1.705,1.775,1.695,1.875,4.615461694710775
1.78,1.275,1.345,1.495,1.325,2.450538427055711
2.54,1.675,1.465,1.025,1.025,23.713455868036014
3.62,1.595,1.835,1.435,1.295,13.866937658393871
3.14,1.875,1.5350000000000001,1.195,1.255,18.258581510111142
1.02,1.165,1.365,1.345,1.775,0.9655586866032156
3.18,1.425,1.055,1.085,1.305,6.01484446412958
2.8200000000000003,1.645,1.045,1.925,1.615,2.0821704764588627
3.02,1.5550000000000002,1.075,1.665,1.4849999999999999,2.9177896534590513
1.7,1.7149999999999999,1.905,1.035,1.7149999999999999,9.010322126809328
4.42,1.865,1.2349999999999999,1.615,1.495,7.0542327442274315
1.18,1.055,1.925,1.125,1.795,2.0458912536830343
2.58,1.855,1.755,1.005,1.375,24.632177315526885
4.26,1.075,1.5150000000000001,1.525,1.625,3.959173566799676
1.1400000000000001,1.7850000000000001,1.8050000000000002,1.355,1.675,3.5743591783078372
2.34,1.605,1.095,1.855,1.605,1.8825846857328037
2.98,1.665,1.415,1.325,1.365,7.983334921100612
2.42,1.185,1.505,1.505,1.5350000000000001,2.8170298277079624
3.66,1.935,1.125,1.205,1.595,7.699871947036716
1.22,1.175,1.815,1.135,1.335,3.764410276064199
3.46,1.795,1.215,1.415,1.525,6.046258717812054
1.3399999999999999,1.7650000000000001,1.425,1.4849999999999999,1.755,2.177439664129211
3.1,1.005,1.245,1.5550000000000002,1.585,2.0503537089580366
2.06,1.975,1.605,1.705,1.245,7.110672123448789
4.7,1.465,1.355,1.365,1.5150000000000001,7.573899102158107
2.5,1.845,1.7850000000000001,1.725,1.405,7.229216556489421
2.3,1.205,1.945,1.2349999999999999,1.905,3.928309468385489
4.74,1.615,1.395,1.915,1.225,7.644112407754951
4.78,1.2650000000000001,1.205,1.425,1.155,7.288385341044055
4.38,1.635,1.325,1.215,1.7349999999999999,7.860237270860278
4.1,1.225,1.545,1.245,1.8050000000000002,5.418072505115215
3.5,1.835,1.025,1.865,1.9649999999999999,2.3474207130971876
4.34,1.5350000000000001,1.745,1.635,1.7650000000000001,6.63998289851347
4.46,1.095,1.575,1.335,1.8250000000000002,4.592255331554694
2.2199999999999998,1.685,1.645,1.075,1.075,22.216007550021278
3.22,1.295,1.455,1.2650000000000001,1.475,5.6193724790117905
3.86,1.545,1.585,1.225,1.135,18.60450763217289
3.54,1.255,1.915,1.305,1.455,9.011631796454752
1.06,1.565,1.275,1.8050000000000002,1.865,0.857485527386743
2.38,1.145,1.305,1.065,1.415,4.035005335198672
1.94,1.355,1.685,1.755,1.545,2.5629361701130056
2.1799999999999997,1.8050000000000002,1.795,1.905,1.895,3.168579931009231
4.98,1.4849999999999999,1.035,1.445,1.885,3.7756632835775608
1.74,1.105,1.135,1.165,1.345,2.1340108494119354
1.42,1.325,1.885,1.745,1.095,3.827666811927777
1.98,1.655,1.155,1.955,1.115,2.7788858212236662
3.9,1.315,1.015,1.795,1.5550000000000002,2.3912680880732218
4.0600000000000005,1.475,1.445,1.7850000000000001,1.935,3.4652335485574226
1.26,1.775,1.085,1.9849999999999999,1.955,0.8096611968410407
3.06,1.065,1.935,1.405,1.835,3.7454946535376226
1.5,1.625,1.175,1.475,1.505,2.0451921709443104
4.62,1.9849999999999999,1.875,1.175,1.005,103.38623160231494
3.7,1.895,1.4849999999999999,1.575,1.9849999999999999,5.401513989446406
1.38,1.725,1.995,1.7650000000000001,1.2349999999999999,5.311638965370736
3.38,1.455,1.7149999999999999,1.605,1.815,4.580330705014035
1.58,1.8250000000000002,1.145,1.315,1.995,1.9241584135795082
3.42,1.435,1.975,1.275,1.2850000000000001,15.867931094025337
1.8599999999999999,1.495,1.705,1.835,1.745,2.2631399381550943
2.74,1.155,1.625,1.145,1.7850000000000001,4.123879760502659
4.9,1.505,1.405,1.095,1.435,13.920199167636966
3.8200000000000003,1.585,1.315,1.7149999999999999,1.685,4.037818301384789
2.02,1.015,1.065,1.775,1.055,1.5778940790257112
3.34,1.915,1.005,1.185,1.085,11.58219944300526
4.82,1.115,1.955,1.935,1.705,4.512399266578306
4.58,1.995,1.9849999999999999,1.815,1.215,23.010406930680446
2.7800000000000002,1.2850000000000001,1.495,1.895,1.645,2.3685665737940327
4.5,1.215,1.665,1.995,1.195,6.013202384316595
1.82,1.575,1.335,1.115,1.185,7.116974585663449
3.3,1.9649999999999999,1.105,1.875,1.015,7.027895928392339
4.66,1.125,1.375,1.2850000000000001,1.915,4.077537375250488
1.3,1.395,1.725,1.975,1.065,2.781311827464406
3.74,1.7349999999999999,1.5550000000000002,1.105,1.695,12.05249188121666
3.2600000000000002,1.695,1.595,1.645,1.315,8.116184111096953
1.6600000000000001,1.525,1.865,1.7349999999999999,1.975,2.146938272154306
2.8600000000000003,1.415,1.475,1.8250000000000002,1.925,2.3205705888202846
2.14,1.745,1.675,1.655,1.845,3.4335650145970127
4.140000000000001,1.135,1.295,1.375,1.725,3.5535695178611424
2.26,1.345,1.255,1.675,1.105,3.365739390933907
1.54,1.045,1.165,1.055,1.395,1.9818695945748903
3.58,1.085,1.115,1.455,1.425,2.836314194186407
3.98,1.245,1.895,1.885,1.165,7.673664519242388
1.9,1.5150000000000001,1.7650000000000001,1.945,1.635,2.504852156847091
1.46,1.2349999999999999,1.2850000000000001,1.045,1.205,3.688552337614438
2.62,1.815,1.615,1.5350000000000001,1.565,6.25609255053951
4.9399999999999995,1.385,1.635,1.625,1.125,12.108334414984473
