U,k,d,E_n
3.98,1.58,3.94,0.013378188395339765
1.02,1.1,2.38,3.8066980681358236
3.1,1.18,4.74,1.4182167218697463
3.2600000000000002,1.02,4.54,7.051370159851442
4.300000000000001,2.62,1.42,15.79919465513754
3.8200000000000003,1.46,1.3399999999999999,10.513545734705142
2.06,3.1,2.3,1.3910238474735843
3.22,2.66,4.66,0.09367559643829283
1.7,4.9,1.58,3.020057679993892
4.98,1.7,4.9,14.524108600295541
2.58,2.34,1.9,6.518367469666458
4.58,4.140000000000001,2.94,0.7045431445007704
2.14,2.3,4.98,2.385942011897009
1.42,2.9,2.06,0.1346677365763698
3.38,3.94,4.62,1.3652301428127587
2.66,4.78,3.02,6.884201766379193
2.02,1.6600000000000001,4.9399999999999995,5.411705749298901
3.74,1.78,1.1,10.304452368895339
2.54,4.98,2.46,0.2508532528952074
2.26,2.54,1.74,5.824578820646513
1.22,4.300000000000001,3.9,3.6285101279411602
1.98,4.62,3.42,7.90309383523217
4.7,2.5,2.02,6.286401149774515
2.1,1.54,3.7800000000000002,0.4402886927446317
4.02,3.62,2.7800000000000002,14.494501339222
1.06,2.26,1.6600000000000001,3.857644875724492
4.46,2.58,3.46,16.756667644998366
3.18,2.2199999999999998,4.26,12.716657512977454
4.54,4.54,3.8200000000000003,8.498910501876448
4.9,2.7800000000000002,1.98,2.8246806384125205
1.5,4.34,2.58,2.3992128780568045
3.5,2.42,1.1400000000000001,13.493376142799018
2.3,2.7,4.46,0.6180595581851989
4.78,2.8600000000000003,3.2600000000000002,19.071108966217196
4.42,4.02,1.54,0.0376980744802584
3.54,1.26,3.7,7.436603030961406
4.5,2.8200000000000003,2.34,0.4445481839612643
1.82,1.3399999999999999,1.46,5.0090715280532345
2.8600000000000003,3.86,4.02,11.336238051097128
3.7,2.74,4.5,0.20576225386290534
1.94,3.58,2.74,7.476819504904053
2.38,1.38,3.14,6.5219957876197965
2.42,4.1,3.1,0.04983738429072772
2.62,3.7800000000000002,1.5,0.954627895290501
2.8200000000000003,2.98,2.2199999999999998,0.30874983275578544
1.1,4.9399999999999995,3.34,3.745899773968675
4.66,3.7,2.66,17.840513234570746
3.66,4.46,1.06,7.208659630097033
3.46,3.38,3.58,0.7377695786857402
3.7800000000000002,4.26,4.38,0.1371293880472607
1.38,4.220000000000001,1.94,3.661714166935635
4.0600000000000005,1.3,2.8600000000000003,14.928019994287332
4.18,4.38,1.7,5.043107870119936
1.8599999999999999,2.02,1.3,6.956402480974838
4.62,4.18,1.02,13.24900274840542
4.9399999999999995,3.14,2.1799999999999997,1.5197098336273107
1.46,3.54,4.140000000000001,4.366917543906687
2.1799999999999997,1.42,4.34,0.03155577823311519
1.54,1.94,2.26,4.072190783338538
3.42,3.9,4.220000000000001,11.844580599870966
1.1400000000000001,3.66,3.98,3.229704901341649
3.3,1.62,1.8599999999999999,13.145675266139252
3.34,4.58,3.86,4.078436874589778
4.34,1.9,3.5,0.5774415994233943
3.86,3.42,2.14,3.7828209595835536
3.14,4.5,4.1,0.4946515132094391
2.2199999999999998,4.859999999999999,1.18,0.6510487899811356
1.78,4.0600000000000005,2.5,6.22413369470093
1.18,2.46,3.3,2.9758697878807108
2.9,1.1400000000000001,1.26,5.022845785563425
2.7,3.02,4.78,6.987723597452564
2.5,2.1,3.62,3.7533824899538315
4.1,3.3,2.1,1.6563388174190539
1.3,3.06,1.38,3.8226843000220074
4.220000000000001,4.82,3.18,16.27679177183685
4.859999999999999,3.74,4.7,6.854597917810752
4.140000000000001,1.98,4.300000000000001,13.356727668148586
2.34,1.8599999999999999,1.82,9.221819167160119
3.58,2.94,2.7,7.760863993030698
4.74,1.5,4.58,1.5859220792432716
2.94,3.5,3.66,0.1736430749274397
3.62,3.98,4.42,5.011800111831551
1.58,3.22,1.62,1.633904311819121
1.9,3.2600000000000002,2.42,3.9338021270214907
3.06,2.14,2.98,0.027026697465692636
1.26,3.34,4.859999999999999,4.701327426326546
3.94,4.42,2.9,0.2481568083179335
3.9,2.38,2.62,0.008829343434169856
4.38,2.06,1.22,15.846607192677343
2.7800000000000002,3.8200000000000003,3.06,2.0053290448777332
1.6600000000000001,1.82,3.74,0.44482208238860216
1.3399999999999999,1.06,4.18,3.424724824716211
1.74,3.18,4.82,6.7112838111365205
1.62,4.74,4.0600000000000005,0.2492967681890471
2.98,1.22,3.38,9.269911805169766
2.46,1.74,3.22,1.0955345177534273
4.82,4.7,1.78,14.36300009491296
3.02,3.46,2.54,10.897691484659502
4.26,2.1799999999999997,2.8200000000000003,0.07819328150400416
2.74,4.66,3.54,9.343153003644671
