h,E_n,d,m
3.5,1.58,4.1,0.005841462000931098
1.62,2.1799999999999997,4.9399999999999995,0.0006247840086661325
4.82,2.94,4.0600000000000005,0.006071625084139102
3.02,4.42,2.58,0.003926110080953872
2.1799999999999997,3.54,4.140000000000001,0.0009920174475314034
2.7,2.9,2.8200000000000003,0.004003516118928327
1.7,3.38,1.3399999999999999,0.006030895639504478
4.7,4.74,1.6600000000000001,0.02141960539522779
4.54,2.54,2.9,0.012220592451585625
1.98,1.54,1.54,0.013594977264493371
4.62,4.82,1.38,0.029450251483236826
2.98,3.22,2.34,0.006379038293779942
4.5,1.8599999999999999,1.46,0.06468694475921655
1.58,2.66,3.94,0.0007656853914493786
2.34,2.26,2.5,0.0049096838332034045
3.86,1.82,3.8200000000000003,0.0071053710660566646
2.46,1.78,2.7,0.005906537304160416
3.9,3.1,3.66,0.004638906477716676
4.1,1.9,3.7,0.00818504237162978
4.9399999999999995,1.46,1.5,0.09408682028668774
1.1,3.42,1.18,0.0032181443260707646
1.18,1.7,2.1,0.0023522678421967302
2.2199999999999998,3.2600000000000002,2.02,0.00469240919954183
3.7800000000000002,2.8600000000000003,2.2199999999999998,0.012838724666198809
3.74,2.58,4.42,0.0035147078175091937
1.82,2.06,4.9,0.0008481910063183615
4.26,4.5,4.300000000000001,0.0027623585004922903
4.42,4.9399999999999995,1.42,0.024839975813086838
2.66,2.14,3.74,0.002993757116532375
3.54,1.26,3.38,0.011025869450442469
4.140000000000001,2.46,3.86,0.005922447688739356
2.26,3.7800000000000002,1.58,0.006855216453115823
2.58,2.34,3.34,0.0032295416402573
4.98,2.62,1.1400000000000001,0.09224821241251836
1.46,3.06,3.02,0.0009673433864090965
3.18,4.0600000000000005,3.7800000000000002,0.002207775320706898
4.78,4.46,2.54,0.010056891596734611
1.06,2.7,2.94,0.0006097665171476195
3.1,3.86,3.98,0.0019905826135513645
1.78,1.18,4.46,0.0017096158970411098
3.42,3.9,4.7,0.0017194999076537698
1.3,2.02,4.58,0.0005051433578170134
3.34,4.220000000000001,4.78,0.0014653283668183252
1.6600000000000001,3.14,1.9,0.003078857535296791
4.38,4.02,2.38,0.010670346471929779
1.22,4.1,2.06,0.0010834568794935355
3.7,2.98,1.1,0.048085272479879794
2.3,1.5,4.38,0.002328233102016772
4.74,4.859999999999999,4.5,0.0028913832058154103
1.02,1.22,4.82,0.0004648969575236374
3.38,1.98,1.02,0.0702389700059226
4.220000000000001,4.9,3.54,0.0036730984210206563
2.1,1.06,1.98,0.013440412915807278
2.62,2.8200000000000003,3.22,0.002973390835667482
1.38,3.46,1.78,0.0022001502341090183
3.22,1.02,3.06,0.013749249289452514
3.98,1.6600000000000001,1.22,0.08119862262986814
4.46,3.94,4.74,0.0028459487817843
2.06,3.98,1.26,0.008505905355556771
2.7800000000000002,1.94,1.74,0.01666478185192457
4.02,4.62,1.62,0.016880696788967503
3.94,4.54,2.46,0.0071561040106033185
3.06,1.1,4.02,0.006671267103771861
1.74,2.3,4.98,0.0006722367372307938
2.94,3.8200000000000003,3.9,0.001884136450364424
2.8600000000000003,3.74,3.5,0.0022611774356675386
1.9,2.38,4.26,0.0010585742226211204
3.8200000000000003,4.38,4.66,0.0019430816461512117
2.74,3.02,1.8599999999999999,0.009100778866326842
1.1400000000000001,3.58,3.42,0.00039308342505562467
3.46,4.98,2.3,0.005755425682373212
1.26,1.42,2.7800000000000002,0.0018322022900921066
4.18,1.74,4.62,0.005958399681836593
4.300000000000001,4.78,3.58,0.003822550475883365
2.38,4.7,3.2600000000000002,0.0014362535781573403
4.34,2.1,2.14,0.02480520869224409
3.58,2.42,3.1,0.006979713033694552
2.42,1.3399999999999999,1.82,0.01671065315976272
3.62,1.62,4.34,0.005439173786272966
1.8599999999999999,3.34,2.98,0.0014772607570587722
3.3,4.140000000000001,1.3,0.01971292645472547
4.9,2.5,2.1799999999999997,0.025594663951398568
4.0600000000000005,3.7,1.7,0.0195237288727069
1.3399999999999999,3.66,1.94,0.0016509553163349235
1.94,3.3,2.26,0.0028280228183157736
4.859999999999999,4.58,1.06,0.05813070601295977
2.9,3.18,2.8600000000000003,0.00409493561002074
4.66,2.2199999999999998,4.54,0.00601059437836771
2.02,4.66,3.3,0.0010183550234450316
3.66,2.7800000000000002,3.62,0.004657045718235132
3.2600000000000002,4.26,2.62,0.004602918507820838
2.54,4.300000000000001,3.46,0.0015872928051497708
1.54,2.74,2.74,0.001460158566850362
2.8200000000000003,4.34,2.66,0.003279861322589825
2.5,1.3,4.18,0.003484932487834722
2.14,4.18,4.220000000000001,0.0007791779081950393
1.5,3.5,4.859999999999999,0.0003447086668869136
1.42,1.1400000000000001,3.18,0.0022152761155013463
4.58,3.62,3.14,0.007443434258127531
3.14,1.38,2.42,0.015451112171101705
