alpha,n,d,k
4.445658672215888,1.2231733882343143,4.60242667289379,4.961820876689654
4.606329888492403,4.2023637777814455,1.6509413007233338,4.171666953490768
4.763491810364198,2.3970688138010305,4.068163530711043,3.0692084648431672
2.7015183740954063,3.8502929375857113,3.3874846823487967,1.3014176166268927
4.543101877140733,4.941975801887537,1.0043443613689336,5.7510756967543575
2.0775165050997084,2.4685570614018366,3.6671072399679314,1.44197446589407
4.487799705477767,2.0161128498295784,4.494946378269468,3.111529918163308
4.917123942675478,3.753905381456743,3.9943270723651008,2.0604594786197548
4.198203276619848,1.57704838635627,1.0399105034418934,16.084306801075808
1.1197930919090555,2.9965100326149448,3.0498974343168697,0.7698687326850681
1.056672166641686,4.488281784203326,1.2880122809105412,1.1484709577853325
3.6317516594463775,1.1337929063774754,4.160930275431227,4.836952673601049
2.7114841069172,3.7957925891605537,1.5506874816717129,2.894410846987186
2.0025831491789696,1.1392380965337459,4.131468659533237,2.6733231773395403
1.178259674885632,1.564211644896205,3.1970174644118976,1.4804043735469508
3.1465537752466357,4.687174612941789,2.1762463483840984,1.9381877240333272
1.1572991111595696,4.36570921913603,2.7374099123995257,0.6084583375611563
4.256284080274924,1.5805285655005994,4.879488989313642,3.4676382377647377
4.9012508809281,2.162222678644397,1.6648525416567046,8.55481476036025
1.52780752851287,2.8592479487644424,3.7858507956394263,0.8868153503364024
2.314160425374071,3.4111480743647458,1.565397942739169,2.723002248491085
2.169368506564636,2.599933851323075,3.6620153510524784,1.4316298345198466
2.509503231107497,2.687932866460787,2.125935045956344,2.7593018912332647
4.875241033250682,3.7392671675508713,3.0560878494492068,2.6805482572325743
4.128546652902706,3.882522978209303,2.7103246860397263,2.4651406851199527
4.773607799006653,4.5781249316121935,2.8107115243648417,2.3308948831950214
3.256315499518318,3.6445283048988713,4.724139545803093,1.1883443333225119
2.863017944590714,4.210563823197926,3.2024569840636765,1.3340754085898514
3.7207428910164126,3.8324889335669763,4.958341120323205,1.2302467255644904
1.2234484531554042,1.2219664042013871,3.2289838858445346,1.948230782202656
2.2471063942521994,3.5953226749659075,3.965347361192797,0.9903401649697192
2.849669987401261,1.0188827726446137,1.0005368406138135,17.563745407588698
3.2481093749181134,3.3526595923808267,4.738975104373473,1.2845074455800074
2.382688271229212,1.9752131779653117,2.7006703508621706,2.8064773683489714
1.5300963958959808,2.9998767841050946,3.8146201479824717,0.8401250712101098
1.811697663623537,1.7076213473633102,2.2116929279215203,3.0140412239065375
2.5883748059443943,2.1600829052704666,1.391392614444221,5.411116927214008
2.3632689401472793,2.1070370043268603,1.441069321262356,4.8903053812843895
1.0948046035992272,4.783297749895095,1.1603841218996398,1.2393309347127393
2.369562923456024,4.154350597020814,3.2330109778155154,1.1085053407111394
4.427699569575465,4.886940941342042,4.788440495371906,1.1888493592770428
3.2815225545384563,3.7888055480081193,1.827819930291259,2.9772790180059348
4.490395013722066,4.908042059115621,3.4092228603718757,1.6861676297653159
4.873981136197419,3.072028827668726,3.302345801143924,3.0186716610595505
1.3675772325555684,3.5623073112634147,1.0255879692788563,2.3519464562057433
4.167149694655547,4.814369256984161,1.9289523872854184,2.8194088907894397
2.9424090645845613,4.898883021381749,4.24097706738456,0.8898563929790226
3.733582922007269,2.3348934682729543,3.401904994128813,2.9533602047901084
2.4429158011243968,1.6873541873739493,2.1863349933058163,4.160690463438899
2.5272413051879967,3.1729410632423867,4.5253749693126695,1.1058850926759405
1.4465083807218218,3.6282183345585532,2.716089102705168,0.9222812846465708
3.7737984356287004,2.2282293901842047,3.8492829589558815,2.764514251768232
3.7052511708616223,4.398845002137344,1.4693928257304851,3.6018112234654294
4.401181428472915,2.80974864302339,1.7597119902163365,5.592938923228488
3.669864938123867,4.780112338960421,4.386675464904492,1.09965471512875
2.051307219023461,4.705558354636963,1.3472467818752747,2.0330696552934606
3.033061026849817,4.674052290211631,2.3106169286313234,1.7645724706766868
2.7368678592773388,1.1419506100486996,2.720766264753569,5.534713474130708
4.714310255416537,4.750138268486769,2.7422157215247083,2.2739984338776367
