beta,alpha,theta,f
3.1173062960228908,1.2645173301198391,3.8041963959402616,0.009548901066268356
1.47888683792957,2.6884446941443105,2.7004688559426087,-2.1164148344288747
2.3159170474787034,3.8240231198643233,2.6533929139699515,-5.505619596222467
3.43152699951153,4.982018174712137,4.068979187197728,-6.824781984710776
1.5634347932805557,3.914403959703276,1.1961458992491676,3.803000842727763
4.4597834906076805,1.7131132190287013,3.6500661032854285,-2.213769934624353
1.4783296614450423,2.1259767807588843,3.1422396140423454,-1.6645642153527291
4.520475497673834,4.650296220893494,4.80010791735371,6.362099642213992
3.1671812731695383,4.115043514183581,1.317273297077571,6.436087473397554
4.3868378631318015,4.644019781226157,2.9036120336322937,-15.411543789531224
4.486285253870111,1.9227769269497563,4.621166547925236,3.7004799877188526
2.91615646206222,4.728917371556074,3.0956560246640685,-10.859559121633072
4.236434783939203,3.8836234348743695,3.3656677983933525,-11.804965201747189
2.826736206400978,3.6236580848327495,1.2345041104893677,6.206857791542081
4.560964067091835,3.6302135275790586,2.5867365336807393,-9.512325103461091
1.5257411585723313,2.79216473810452,3.5108163229804936,-2.4472805905953376
1.3461428378917357,2.4946759739920816,3.7444008501621138,-1.420155373145225
3.1992273234319537,1.8009094019334009,2.1476047231172624,0.05717457237970487
4.270046114725783,4.3427430975074,2.861086506310526,-13.548894274471149
1.1092486148316565,4.845941092703598,3.630868967834978,-3.635431879992448
3.3914985970255085,4.37854993132134,2.6739992435988227,-9.864299799775596
3.4748688809836903,1.7472281629975492,1.9520666307544696,1.2157059922213924
4.906613125870519,3.1130462423931413,2.509455470747826,-7.416353536122563
2.93911382607198,4.7964169972425035,2.066030671346349,-3.760416622702824
1.3625182206504634,3.977465974892216,3.8663462283013823,-2.694762463254672
4.851761959375113,4.0568413334847975,3.7500429154534887,-11.298684298648796
3.3937020027090696,4.023551623666629,2.4413176396415524,-7.047595948286638
3.1375822799813045,3.4773260946811684,1.5106007163163366,3.79394371558618
4.010626663551818,3.6053589981018845,3.0243526590306167,-10.349859854190667
2.2734511232473644,4.943380262237959,3.490867139374969,-8.286513606876424
3.1787566848904496,4.070440919292382,2.150907846015219,-3.9132997766066913
4.520856726627667,1.9424441702641952,4.539264453539417,3.008144685993197
4.385561288658423,3.174639174218982,4.509573499381807,1.5811663307246482
3.723946130834985,4.427599539625534,2.1790318338528167,-5.6977131144870485
3.573248965281006,3.812506910248468,4.806667691524868,4.8557094512160495
1.2387166119852724,3.969270031228541,1.1653080544025558,3.17823463176872
1.811574973479965,1.3038879051373682,1.5134804007799842,1.946886275175758
4.799548284805049,1.6452303714772,1.4790374859750368,5.523093029661123
4.742833013840111,1.3632853051219715,1.337913648546936,6.235039903586338
4.059517972571694,3.980392437242198,3.411089426224917,-11.515716536610286
2.9880562161070685,2.9554379924533407,4.888541182292652,4.5356264474324055
3.883024583438016,2.944241837940043,2.0007316223224074,-0.8822049036090408
4.000450576490402,2.110977039646567,4.733678804877178,4.180226567680271
1.8242635200084758,2.2441145762929837,1.657201938932789,1.4709713478475177
3.292528942713288,3.831773372895857,4.486351515967677,0.4650114887559382
1.072315631089772,3.713741208434101,1.7687956478956388,0.28896428072541835
3.4468069652965414,4.347286402048132,4.774574407359077,4.378008953090658
2.6558391790651434,2.6906415862781508,1.5154850299250695,3.0508872997132093
2.7744702201603197,3.825517380641697,4.946026620222465,5.231750737166805
2.3985896330499923,1.9593803380459252,3.646114113759624,-1.7155986686011897
4.5269732583047935,3.893842011081036,4.983058105775359,9.2400998033649
3.0154187393077763,1.8974712452649183,4.3196287877928246,0.8255072545159856
3.861781933133776,4.04565545302406,2.8904847174219603,-11.271670519215329
3.9053040052266654,4.749790010193434,2.869013429861797,-13.959222076711368
1.023726197680853,3.0483745710493237,1.0122797844326552,2.6774753195047807
2.2603686575979216,2.271777703767662,2.8870877742677625,-2.70927641982765
4.911335185042079,3.9694445233335593,1.867839582916475,-0.7948186753681548
2.217841360762541,1.7217120930163756,3.686613195613888,-1.0474081009826737
1.222343431632813,1.8326285958178532,3.896121748086916,-0.4097814778704976
4.503907164368995,2.169663797966908,4.727937328496257,4.655838945625416
2.8895791719320174,2.159264518997726,2.6712126580034865,-2.6721673327279256
4.272143483003386,3.4905167579872804,4.944312112056723,7.699657899707897
3.2226423565170355,4.19107459591865,1.5247550371050402,3.8442717404130766
2.4748965429884113,3.1734187552465354,1.551470912079278,2.626666643772191
3.1231022741267718,1.282013129107438,2.2950462066938058,0.4702508188587412
2.9676628974037116,3.15495578991468,2.734167514223549,-5.628778640286468
1.8982391148392064,3.894359620835708,3.694539760016109,-4.392570367653877
1.3955857211103595,3.318982044969892,1.3621818358402686,2.3548786148473013
4.266140639049834,4.3674832050080985,3.177695848923088,-14.354015223492947
4.213274377637251,4.396084448270685,3.253199483367125,-14.193400042639766
1.1507586050244507,2.0313417029331653,3.2228713695362625,-1.1791082809629123
1.6721254155475342,2.558100025609121,1.3771472306082542,2.4952851243675256
3.1911253401836235,1.1424218962357986,3.1561329795287913,-0.4541007493113798
3.841105615006407,4.517117177361089,3.6642528961056953,-11.193197771329034
4.2196317432966755,3.8591249607352176,3.226083892870573,-12.006364843041014
3.7299580387092015,3.142090052011754,2.090446656858532,-2.089852872964073
3.4602845930406767,1.119897455436175,3.0176843279288326,-0.3851691343222276
3.0039400794677764,2.0537308215357233,1.077963634423126,5.9227726967898375
1.4752689480427263,3.876033238795946,3.5361492235307925,-3.8035773488768307
4.449427480289216,2.1716389755732517,3.054459103069138,-5.176465580875763
4.2641390951322125,3.936620799004951,4.88529868397216,7.152211511200903
3.3110226741570745,1.3599904092819068,2.104186339368786,1.0214690040601702
3.899093269973736,4.2551155363532684,2.059358965157944,-3.888054900363312
3.174667799714825,3.2453215286515555,1.152927680967582,7.355689431421016
4.732991266329186,4.646629875571245,3.4779478378649626,-16.027095736559712
4.390748458923381,1.3467171909229974,1.7237315063762528,3.4899490915052604
3.0233013072516988,1.9666298352140468,4.226590872853136,0.2471622982929518
4.393509832741325,4.067864659208473,3.8302660477067714,-9.40543556438208
4.484483530198661,2.3887690991298665,1.7473371744245378,2.6031164261164728
1.563828271325148,1.9225832218164784,1.728352458573541,1.0920790278340131
1.2193274240647989,2.024039505335507,1.2493943046798943,1.9989510033206777
3.0624892548587215,3.942993857910474,2.578449749463056,-7.1482251088726425
3.6628673728961183,3.8356230858351834,4.490891766964942,0.5763522853385645
4.5498884144439815,1.263133566726531,4.8022626748335755,5.065707973815885
1.2616947646133068,4.635292544702944,2.202703227069177,-2.192819852061332
1.1922523757783572,2.555013345332656,3.4841794183907218,-1.6769489949544536
3.766333038105344,1.8741962143400797,2.9915299407204663,-3.213184672581052
1.1333766727073886,1.440182074451941,2.45594826312536,-0.13001763139187147
2.61151351923363,1.560004681200752,3.5431110374191945,-1.1384511817568548
3.783787193372513,3.8931389199509376,4.187481944115337,-3.598300907372177
