beta,alpha,theta,f
4.54,2.94,3.98,-4.384845208617591
4.9,4.1,4.9399999999999995,9.433324677862144
3.34,3.94,3.94,-5.843404817716897
1.1400000000000001,2.62,2.34,-0.9375085434793963
3.7800000000000002,3.5,2.1799999999999997,-3.790398772377735
4.62,2.98,4.62,3.349834238711523
4.42,2.54,4.42,1.1839800642099487
3.58,1.1400000000000001,2.54,0.21531469985052015
3.74,4.0600000000000005,2.1,-3.9257851906860792
3.54,3.2600000000000002,3.14,-8.000385363628498
3.46,1.58,1.3,4.922362596324894
1.8599999999999999,4.58,1.02,6.318449865522552
2.94,2.1,4.18,-0.193879958783522
2.34,3.62,2.3,-3.303890921057134
3.14,3.7800000000000002,2.8200000000000003,-8.120704321092608
4.0600000000000005,2.7800000000000002,4.859999999999999,5.720012358054896
2.06,2.26,3.1,-2.5915736056122793
4.859999999999999,2.02,1.98,0.9539435202296368
4.38,3.7,2.58,-9.33688871594286
2.46,4.140000000000001,4.34,-1.2455095080329972
4.9399999999999995,3.1,3.74,-7.712945142778441
3.38,4.26,2.14,-4.3803981176136855
2.5,1.82,2.8600000000000003,-1.8707940676443335
3.8200000000000003,4.859999999999999,2.5,-11.053391451351933
1.38,2.66,4.9,2.064649605676391
2.54,4.9399999999999995,3.54,-9.024872395938448
2.8600000000000003,4.9,1.78,-0.050441556545496494
2.7,4.34,3.86,-6.121954263875567
4.140000000000001,2.14,4.46,1.927598727671838
1.78,2.58,3.7,-2.1148145856268776
4.74,4.66,3.9,-11.294683108094379
1.02,4.18,1.1400000000000001,2.8004559270768548
1.22,3.9,1.42,1.9347727858398014
4.1,1.3399999999999999,3.34,-1.2862173132871095
2.7800000000000002,3.42,1.3399999999999999,4.954890195519711
4.26,1.18,1.6600000000000001,3.8121854261438064
1.18,3.34,3.5,-2.5107630959504865
4.02,2.2199999999999998,3.58,-4.060409581272005
1.3,1.46,1.26,1.8804404921019933
1.46,3.74,1.9,-0.3052903509014737
3.42,1.62,3.42,-1.90706334139728
3.66,1.54,3.46,-1.6930875350709627
1.62,3.06,4.5,0.5750430630617388
2.1,1.42,4.7,2.0630570055536603
4.220000000000001,2.42,4.1,-1.6503320715763585
4.7,3.58,2.9,-11.63734208680701
2.1799999999999997,3.46,1.7,1.2081517484277167
1.58,2.5,2.26,-0.9318951255463096
3.3,3.8200000000000003,1.8599999999999999,-0.29509328084273023
4.82,2.06,2.2199999999999998,-1.182720409788392
2.66,1.8599999999999999,1.1,4.904212170365186
1.5,3.66,1.94,-0.4811921119673216
3.7,1.26,3.66,-0.34945719364908273
4.18,1.98,1.46,5.095119725702824
2.74,1.74,2.46,-0.9623764837733281
4.300000000000001,4.78,1.5,5.753932443077966
4.98,3.22,3.3,-10.854830598350595
1.1,3.02,4.220000000000001,-0.47041709616485483
2.02,1.9,2.94,-1.7402763686259057
2.14,4.300000000000001,3.8200000000000003,-5.024430417271218
4.78,3.38,2.7,-9.826551155284447
3.02,4.7,3.62,-9.580428999747578
1.94,1.94,2.38,-0.783859880284987
1.7,1.02,3.7800000000000002,0.3075184689286871
1.9,1.22,1.22,2.696570839960597
2.42,1.6600000000000001,4.78,2.691400104717268
1.82,3.54,4.38,-0.282299673408552
4.66,1.06,2.42,0.9515725544979647
2.2199999999999998,3.86,4.0600000000000005,-2.982245683264408
1.6600000000000001,1.78,4.300000000000001,0.47571860633809104
1.98,2.8200000000000003,1.54,2.1519271909328577
1.26,1.7,2.74,-0.7115816608734544
3.94,2.46,1.58,3.850795577221402
4.46,4.38,3.06,-15.009810957629826
1.3399999999999999,4.82,1.38,2.564852201186453
1.54,2.7,4.58,0.9911332209872021
1.42,4.42,4.54,0.3433688968493376
2.26,4.220000000000001,3.18,-7.270166587122268
2.58,4.5,2.02,-2.4616232984334685
4.5,3.3,3.38,-9.929972512574121
2.38,1.38,2.62,-0.46766256391659317
2.3,2.1799999999999997,1.74,1.455655195983328
3.9,2.74,1.82,1.2644871356730394
3.22,2.9,1.06,7.785087500413606
4.34,4.02,4.140000000000001,-5.109916013799052
3.18,1.5,2.06,0.9384667475193373
3.98,4.62,4.98,8.842200852263874
3.06,4.46,1.18,8.258709633029458
2.8200000000000003,2.8600000000000003,4.74,3.042660101380507
3.5,1.3,3.02,-1.016406061012014
1.74,3.18,4.82,2.3342847596349094
2.98,4.98,2.66,-10.172428326477457
3.2600000000000002,4.74,3.22,-12.1449258766832
3.62,3.14,4.26,-1.3486037982487247
3.86,4.54,4.66,2.942334458211012
1.06,2.3,2.98,-1.3462384495929394
4.58,3.98,2.7800000000000002,-12.469652969643276
3.1,2.38,3.2600000000000002,-4.226339514758527
2.62,1.1,4.02,0.7801950200436191
2.9,2.34,1.62,2.5662385844904385
