m,q,h,n,epsilon,E_n
1.7062437907241756,2.92999717061113,2.205967680073465,2.517477163935227,2.804270583832729,-0.06481129483638308
1.3430214034233718,2.0740091443159447,2.0274155280550343,2.5500052709583376,3.0283763040324065,-0.012672089821962535
1.3553801830522496,3.9883223539095622,2.036353664012296,1.5121267104837488,3.372331717799592,-0.3975472908104458
2.799298102685829,4.348099351713284,1.0766745150909514,2.23742345358373,3.2401721096958362,-2.0528423582720308
4.159706513717287,3.154424553945081,1.9078028532774358,1.7568220750278245,4.733288402547104,-0.2045525037920923
4.972477233574397,2.099411110381917,1.6022405797303896,3.427457462634341,1.706401444963729,-0.13750255245448073
4.459679655000073,2.196054416131067,2.7710772272072584,4.878461606335402,3.404448145166524,-0.006121101449210041
3.112089810822944,3.721565512115239,3.20391092071884,2.9375248706031973,1.2050795051118466,-0.580108778590802
1.085122081442214,3.774396568860432,4.700762960400592,3.4983355164754486,2.6305165667543946,-0.014710824822228854
2.2439877941125546,1.6999506466769791,4.1553249409951345,3.580929632534764,3.08579777540475,-0.0011110645137579012
2.9900916897310124,4.323170668332556,3.2186783708628464,1.1702993315026364,1.8316996082042152,-2.7424988861873967
3.6501440437143033,3.3619642273640147,3.850642050071774,1.1534316159632323,1.7691049621228938,-0.9441373226162616
3.1463208206169013,1.494098960205393,2.9840425488619027,4.901852356725693,2.5288114901642813,-0.0014324091410246591
2.4525948467502707,1.906057165514104,1.4932072617101886,2.1656325211174017,2.087728554999496,-0.08878134754204409
1.7433659815935494,2.299317181426797,3.094893797968781,1.8818042981386665,3.924104510615268,-0.011661987565485659
1.4725066315356743,1.9186948251131284,2.0799499928921548,1.9644193872499471,3.0541810676557404,-0.016018694448311045
3.569902492993453,2.7760138086898367,2.4926199452287165,4.488445680520396,4.7240585548370655,-0.00948676696014072
4.4392993010356,1.3416154367408668,2.9632018840272423,3.7582943471459695,3.977743744827547,-0.0009161339118961881
1.284177591282548,4.030025971052938,1.4701837811304834,2.5620117549139283,2.7080832578581946,-0.4069461692474716
4.955347100262831,2.507316599400509,3.2426543808487254,2.127219206240897,2.696949146947832,-0.0707374609465872
4.115209269827401,1.514882765411964,2.122123217335297,1.4469421608990118,3.1785673365759943,-0.028438826286824412
1.666472084498383,1.7082902834221103,4.354107565729707,1.2155406131474402,4.925690332714212,-0.0026102570227023673
3.782428120736081,2.8245747977708824,2.9289282702226265,1.3380632793417084,4.721528542869361,-0.0878935488714688
2.9783891352776046,1.0043048622488313,4.904579396785405,2.891748399482432,4.8000496622945015,-8.172175885688479e-05
2.6548757789985316,3.987260006100172,1.2834974651291358,4.9586775088399575,1.329818623784548,-1.1709702552176966
4.536389610915143,4.507077044954134,2.133069117089607,4.199275031227765,2.0093396619231214,-0.722329047207603
2.309062240098473,3.529245865463565,2.156079024691774,2.6997387268998887,3.1264175713775693,-0.1352092871194757
4.33770965075658,3.8440510049453587,2.3117241702036195,1.1511755125606842,4.929132348600216,-0.6880674063777329
4.355844174055647,2.4350756813017873,1.2543549753707572,1.0418218940207131,3.7737850629094414,-0.787136417948305
1.4840220263252792,1.8265881979172225,1.5365198199844534,3.544461688620524,2.289058007959465,-0.013286862646791651
1.2669422767063103,1.5621426721981986,4.353476134285288,1.7663856959513025,4.553092167666788,-0.000769295739554482
3.538975531634365,3.0411572972486622,2.33820622042789,3.366021626161154,3.7825323664874206,-0.04269513340347758
3.1043891998041238,4.253647375396128,1.0226375668564622,2.81559912124053,2.0702097452834045,-3.5753477550048975
3.7058532156325934,3.9821127276631216,1.8222895586941419,2.370861234498245,4.307895802731508,-0.3362598396043344
4.972900382358972,4.125028781780997,3.7596513714665702,2.002518048561821,1.7722363633432658,-1.010965627642218
4.071861639650116,4.38618117497591,2.031238153000556,2.2027611491723262,3.3996399655681264,-0.8141921912930861
3.6737712299215985,3.9472559071326856,3.2021258975104923,3.3002680376170117,1.394350586046981,-0.5134333269256309
2.3142665574944257,2.158629848912278,1.7621820900993668,3.9549718034028793,2.3566519192392787,-0.02328396152585593
2.4915540672956555,3.967225046817543,4.723333811860899,3.0409023840982488,4.3429391079525015,-0.019827043526622585
1.1558684906533916,1.9131111192491532,1.9379499405367149,3.7672605293339885,4.685507583221461,-0.0016539771729066595
4.848196681456727,2.034776599725516,2.688828424515504,4.663146195420009,2.929060125164112,-0.007702227888630663
3.9516247487708136,3.369384588932303,2.9346478235087834,4.623972110253628,2.668844746805412,-0.04853991774676985
3.5270913099052184,2.4912267814809312,2.1161951238744345,3.1005637536909583,3.5118657571839598,-0.031982411669594736
2.3586659851783005,2.973224078253724,1.484510148447996,1.0091182438735036,2.3901561697488543,-1.7971486798488925
4.567991968886776,2.6037652912663587,1.0702606474567409,4.468166283199438,1.9544891771951751,-0.3004265914646497
3.7400100433895265,1.1774513458820506,4.858193009571608,4.78889049786578,2.9849459435602435,-0.00018632124576351328
1.495246178667121,2.2054084363595354,4.922198969815996,2.0262327026092737,2.5597855629766992,-0.006783825975294986
2.105572014921034,3.0824527101300188,1.5210832774697265,1.6757510184107436,4.759758370568123,-0.1614250846128566
2.2613881340698674,1.8419421054264835,2.461157063171054,1.2498112588810018,4.359896789641721,-0.01809127113833477
2.5779269429150293,3.35581710462705,2.000959877376784,2.1298599630268367,2.5966582050971403,-0.333706999422282
2.926034274765269,1.6334872904309656,3.2554393092359506,2.026885196374849,4.509451491409664,-0.0029412200228923838
2.866797240619277,3.2500795467374104,4.330160055049292,1.6415529720760318,2.6289240874515665,-0.11450096835351192
3.898537809175033,3.176939437197162,3.4172023815970363,3.9387551861176986,4.638998480678055,-0.012733261832995054
2.8503540544795647,4.540461933813235,3.113194785656251,1.7770486650430757,1.5746054765299975,-1.995511484041249
4.981414084188692,2.0940883665764862,1.249230612698896,4.851832680968117,1.1160576261512052,-0.2616812271552861
1.2915290619569455,4.714279393830296,1.1800333986747928,4.487264023283242,1.5009276596559418,-1.2624206759054946
3.1847790255421704,4.672035697763974,2.673218572600552,1.46587020044548,4.949992317404444,-0.5041327430050593
4.862443594106557,1.514572063376554,4.119818398632445,3.830972671320759,1.75632703338594,-0.004162357050102228
3.3733072644263817,4.535658542344616,1.5610568369084783,4.241996935142778,3.043603211527063,-0.4393120579452204
2.044352459337518,2.8118694785969303,2.8417973289574237,3.0321468342097564,4.714719224336673,-0.009679392209063798
2.4218239156949557,1.0000921179592548,4.2160822261603235,4.404159987107793,2.3588043033296593,-0.00015786449082174205
4.051260116829418,4.430168743364051,4.461811751064747,2.5187091364702265,4.582652121592483,-0.0735476692742299
4.198744529727222,2.2928781743952356,3.3822678042863954,2.662663877572688,3.6015284537742924,-0.0137889440229223
3.8850136922762615,3.097824988331248,1.9956278074991065,3.4609768397273935,3.381078308329347,-0.08200930709640103
2.341414979156802,1.6285475393120792,2.0387807906401543,3.2941529250880377,1.1242689456393018,-0.03610947374968397
2.7637993039611515,4.252812100409619,2.8839343809611973,2.721354049041897,1.5647933942365664,-0.7493184810921715
4.1263852093273385,2.3374763455902023,4.460348793558584,3.770306829398054,1.846162549324792,-0.015974886239959296
3.8659879433760582,1.0238986288608083,4.929656513557512,3.6947532087429957,2.61819679176325,-0.000233555227269402
2.473609483379468,4.37443623398342,3.4642431261719047,1.5748939855199904,2.3994588774702366,-0.6606683650400486
2.511377994620043,2.3847471916134206,4.227762242860903,3.0452714749404333,3.2324089963509266,-0.005862268789679072
1.5711784745451594,3.680213973774289,4.011115917848725,4.189109308090677,2.8364756853431934,-0.01585973301934229
4.011582677564638,1.7335381611435574,2.616883129241637,4.1874807874123,4.203038281686201,-0.002134805854306137
2.01904017343558,3.8079803911781136,3.863073720903303,3.9700763488214528,3.0125170262591863,-0.02486056856095448
4.672620799576286,2.632185546176815,2.6654052001211883,3.6219539238028866,4.40602760584384,-0.015496363651006262
1.958585319544131,1.8171926982980708,4.267876480719692,1.1888977428448366,3.2372508213957563,-0.009894436196193044
4.345748115749015,4.214630233878069,2.710090160070312,4.9081237836598115,4.701739889006744,-0.043822463198538435
2.3658390658962274,4.731016781680203,1.449436322314105,4.931488545799546,3.3158933412131844,-0.2637288995444993
4.673510667747127,1.8367233317469047,1.512274805591704,4.265688108088684,1.2328744480674665,-0.10511165860385173
1.1959370432838945,2.475769102368633,1.4957788333822968,3.392976451528381,1.3757764925536795,-0.11520376139469525
4.865543946389461,3.6300720361106515,4.350814638855273,2.1165037718785253,3.3352635004000297,-0.1119599842608561
1.1765370804407365,3.318379017087897,4.3658681736109815,3.5247915729269668,2.0088428559487435,-0.01866033935097376
4.976193870104436,2.6972423969624137,4.613094118952455,3.5100130590337004,1.4469745471869246,-0.059974044322042286
2.2714647135075143,2.9872287400092286,2.6869478079024827,2.2659112555705034,1.1103408972075073,-0.4947354102376697
2.057741568889262,4.593185447701387,3.6670203906144665,2.923827931712961,4.022145529567443,-0.06156174664857445
4.045189407504783,2.2071283089792635,2.8594917211130935,2.023958910631607,3.0639648327481828,-0.03816019421976435
2.1422599688345434,3.613164597881209,1.2848140437433724,3.8806591802674757,3.2999676716111765,-0.16858628682273846
2.324729350208224,3.4982281776343105,3.5890385533432863,2.6853461314413383,2.9368534822267707,-0.05431922851589794
4.181735554085922,3.1228301029128898,2.416737148439691,4.617774094068502,2.043788209813717,-0.09555733437215536
1.9147287188012112,4.267088479514642,4.4130353289993325,2.177531932475961,4.766870680676004,-0.0378157957181826
4.825033109788347,4.9520049215464805,2.1536009460573378,3.2764002037025666,2.315955248366022,-1.3581567608226763
4.703929715235325,2.516840909004705,4.2559673849398685,4.253498888846743,2.1310959537784644,-0.015852532636972994
2.456468383624026,4.432293813710976,4.254046123230562,2.9292730301974275,3.1422891319549664,-0.0772892294340662
3.1843017651792627,4.134385998063328,4.6004317506928665,1.3840561679638412,3.2168010975766688,-0.27721407963656786
2.377716442162142,3.5252595279216545,3.3962016629762584,4.941985840042274,1.5804141231053106,-0.0652383121092899
1.7773852526748852,2.731634122271576,1.5155034583655764,2.4682027472284047,2.9868475647394503,-0.09910146120893246
2.5582019780181677,3.8747923018921835,1.911946337474404,4.6665923787595,2.5022927404104176,-0.14461428411744667
1.3538110350673729,2.0248588740273017,3.0473986371078907,4.652166378681018,4.058740320246743,-0.0008592025460332018
4.642909869669374,2.8955285684936967,2.7505446349644003,2.9351262966350338,1.5409668792197675,-0.26359313395805434
1.2765623036240985,4.078747692151741,1.3238447267838902,2.1230017185622714,3.4341395573024616,-0.4740768205957461
2.040414615019988,4.84484385765234,1.0374934194556569,3.956030946991384,4.837353101996976,-0.35648555486702105
