rho_c_0,q,A_vec,m,j
1.5140271394902232,2.9952031047433616,1.5877594179572552,3.2558241274394915,-2.2114834705200552
2.873643282873248,1.1990139977241725,4.233810265026605,3.9159565278939916,-3.725208963194932
4.688997880928632,4.335685182303322,1.3976495010487726,2.0503994367129685,-13.857904898349705
2.6813667638457983,4.678181426039123,2.1596332558585765,1.972337555880868,-13.735106915442907
2.5812960135155447,3.2590327541219484,1.9298242259094909,1.158287284633769,-14.016126262634382
4.339738823961151,2.4000262271070447,1.5454151406698142,3.0208627513694246,-5.328362334315597
2.117590111306893,4.869146694778202,1.4935162986451551,4.77684798590898,-3.2237644709811613
4.397270838478159,3.2168250637279927,4.315802532270038,4.955897233239543,-12.318276067366366
2.833487497044464,4.976740273273222,1.0117414487273964,2.519226056279636,-5.663288418284063
3.9545359060530285,4.3871013427118095,1.256727998760936,2.0707961251682234,-10.528757841833986
1.5064832825400982,1.7481213770182982,2.7294258496040262,4.822608174618113,-1.4904768076717163
3.697370268064512,4.001688377288433,3.4111285077244795,2.480867659013572,-20.34373517561545
2.5131919595499443,2.12186605538834,1.3362093155944408,4.832373287486325,-1.474543696933634
4.10555788230025,3.822170804049104,3.4751383344703966,3.6518187350563145,-14.932934322910745
3.659868708996557,4.925861523529524,3.2791723163099906,2.6316703986874237,-22.46365643447412
2.361565499304981,3.690008301296186,4.97414115016183,2.3454955777363904,-18.480376940548894
1.4870671399099218,1.0437678944588944,3.6291774926626825,1.9166023336760036,-2.9390752620531915
2.691350497173275,3.5883855058172256,1.536845309938637,2.490823283842187,-5.958769595987746
2.017593131578285,1.1631228321362994,2.9030353963837663,3.3385295019276224,-2.0405924929368315
1.9076577170443487,2.9280924921983846,1.2684557837870618,2.179658902062757,-3.2506637054877885
4.478267943526783,2.70226688310069,2.142576502803464,4.884247448595604,-5.308563211524918
1.8980105498588355,1.8025844612326452,2.6761697358986427,1.2751853496587748,-7.1801676644000105
2.1733629080470696,3.587636934028789,2.176806214821512,3.4590638783381893,-4.906840302460979
3.1872609451664036,3.1708422941772527,1.1439866134679342,1.5733859470801783,-7.348148749464138
1.0501939087275232,2.23960019736964,1.3623641353418392,2.9883319014460668,-1.0722705128488657
3.938863386053967,1.4408138779246509,2.67551704727166,3.722399305446389,-4.079092606578946
1.2716569671954965,4.8249391218071445,3.742462112069744,1.1624574828094931,-19.753413183258182
2.5372257652432317,1.935925652832363,1.4729269618115772,1.594134577103782,-4.538413033607325
3.257418450025482,3.426165278568854,1.310523701876237,3.022781873123192,-4.838602351454624
2.377624626534676,3.3388116870117885,2.520311016537876,2.0502328756528017,-9.758569510715711
1.5284949862116393,1.5245989736532182,3.804824443843224,2.715545788464884,-3.265104868656857
1.5079294469034852,2.459142881736236,2.9097795509129227,2.592321675341689,-4.16232494211495
3.1574357553914107,2.857098097659724,3.1184604699457434,3.3877296402835557,-8.304073299914174
2.3466953064796394,2.039197559835201,3.714873254301724,4.387182688207973,-4.052045272695676
4.402053330533461,1.1087346029068863,4.2499101434984645,3.2355418683420454,-6.410850144762089
2.180564600577408,4.41555075707087,2.7546315619508954,4.61346111329822,-5.748975975080133
2.465615161391,1.0462013969512052,1.1258143776546037,3.453638185908169,-0.8408732573456607
2.3957607573502675,3.3882429901344264,1.8713503747739344,2.8157114892303325,-5.394919278496205
4.650208149726279,1.9186220384417252,1.0821768944668642,3.4101565749198866,-2.8312991527241187
1.3085282796523758,1.8296123660112107,1.5276357398415643,2.549322294906434,-1.4346212722634768
3.4576087405920766,3.076223966073009,2.1320775035479045,4.856925601672007,-4.669123222058278
2.2595298695641164,1.6426975918688718,4.589877622429633,1.4557834845693116,-11.70253706905794
4.894056357331385,3.1238224595422457,2.8686760918169885,3.8437529492488327,-11.409887353554694
1.9166745669422596,2.3758368747489644,1.0273252896489449,4.9484906733813085,-0.9453665289730042
1.0421615547732328,3.4433550389711267,1.3693461723514928,1.8068419462419216,-2.719630734089868
2.9292191780394514,2.401639061028714,2.895024397529283,3.3216439376532234,-6.131387424536031
4.483492166649857,3.5753835420745346,1.685253431770959,4.778153043047883,-5.653849140932842
1.6674810883993985,4.30681237528405,4.679450914010438,2.3176375905367146,-14.499941136697354
3.2065877542864114,4.231410332815656,3.3579659291486204,2.7069458014613006,-16.831584312404136
4.800791300351217,1.1599098736820563,4.51588848376702,3.6435576623177033,-6.9016770574832025
3.3914210705154466,2.4555772978624826,1.4424199021624222,1.6413541600187511,-7.318544695987736
1.5401111815451802,3.6036500099462514,2.5455611815951835,2.8302000133302263,-4.991844981121316
2.033493781898056,2.311505096621151,1.0531522362838617,4.588179419928791,-1.07891806742573
1.2307826700601765,3.5906513267415825,1.3631550032374269,1.857058509762759,-3.2439508239281247
4.2623036921528765,2.237684203770401,3.17305171277912,3.5011029191191096,-8.644013946097827
3.7666061516746128,4.920474828512657,2.2666528612747423,1.0410160656633292,-40.35383433760596
1.4388640380592217,1.5670457587377635,3.8018517258901827,4.8559934194874215,-1.7653000041353069
1.476055176169332,4.908204281793641,4.341592045107132,1.5181146958049505,-20.719041032630912
2.6471127369874563,4.373655553436029,1.7613256103551045,4.126216992522767,-4.942021172765117
4.452569291180378,2.9705101918687165,3.8761689376082615,2.88588194752557,-17.765026879770833
4.448452933648756,3.090978770784555,3.268533849569025,1.6392361822124304,-27.416781925874876
4.985697713997063,1.5650677461375495,1.045753089632485,4.333378140836182,-1.883049137192751
1.186605275687726,1.2823051691659315,1.51366469925778,1.7691260013274968,-1.3018728950073315
3.0483554378709905,4.534225634297501,1.2177499457048588,2.249701165280965,-7.481729766470993
1.0088307298097925,2.9738368935234125,2.9692059545486136,1.5797049460407442,-5.6389701112841
3.795437223885804,1.149878152490865,3.898030546616216,2.444212206038657,-6.960171882328403
1.8653604376304165,1.2611917729259687,4.554293598483177,3.0039833901886555,-3.5667066228100466
2.103959488476495,4.527680485870661,4.362026985042652,1.2330433436121728,-33.699476129483884
2.1286554171969017,4.30100880474576,2.3219517819034885,3.8696967052472298,-5.493535876556148
4.512735356379607,3.0862688250855737,2.722341163246495,2.8681676500398647,-13.219396668889088
1.725676371338464,3.337934748742687,1.8299216795143016,4.919738860333455,-2.1425336255976863
3.881192002393567,4.682910644731996,1.085330790585795,1.6865915665815137,-11.695887935873593
4.6203047271257285,1.5780073037716609,2.9388631379322616,2.4795067652906866,-8.641590706678699
1.7138530584039366,4.930372782571983,4.435577544791566,1.8684388959627876,-20.059708498944744
