rho_c_0,q,A_vec,m,j
4.62,2.34,1.1400000000000001,2.8600000000000003,-4.309200000000001
4.140000000000001,2.66,4.0600000000000005,4.859999999999999,-9.199659259259263
2.46,4.7,1.9,3.5,-6.276514285714285
1.62,1.78,2.74,4.220000000000001,-1.872290047393365
2.1799999999999997,3.22,4.140000000000001,3.02,-9.622895364238412
1.46,4.18,1.02,4.7,-1.3244374468085103
3.34,1.06,4.34,4.140000000000001,-3.71143381642512
2.06,2.1,1.98,1.98,-4.3260000000000005
4.54,3.18,1.26,1.82,-9.994984615384617
2.58,3.42,2.1,4.18,-4.432909090909092
3.22,1.38,4.82,1.9,-11.272711578947371
3.1,3.94,2.62,2.5,-12.800272000000001
4.300000000000001,4.859999999999999,3.7,1.02,-75.8064705882353
1.98,2.26,3.54,4.54,-3.4891612334801754
1.02,4.220000000000001,4.38,4.78,-3.944199163179917
4.98,2.1799999999999997,4.300000000000001,4.02,-11.612567164179106
1.94,3.58,4.7,3.2600000000000002,-10.013018404907974
3.62,2.62,3.62,2.7800000000000002,-12.350189928057553
2.8600000000000003,4.74,2.1799999999999997,3.98,-7.425364824120603
4.220000000000001,1.98,2.14,3.14,-5.694580891719745
3.98,3.7,4.5,2.02,-32.80544554455446
2.26,2.06,2.02,3.54,-2.656585310734463
3.38,2.3,2.94,3.34,-6.842982035928143
2.9,4.02,3.98,2.74,-16.93388321167883
4.859999999999999,3.9,3.2600000000000002,3.8200000000000003,-16.175403141361254
3.3,3.38,3.58,4.58,-8.7186288209607
3.42,1.58,2.46,1.06,-12.540430188679245
1.18,3.5,3.42,1.94,-7.280721649484536
3.46,2.8600000000000003,2.98,3.94,-7.484489340101525
4.38,2.58,3.94,3.66,-12.164911475409836
3.74,2.7800000000000002,2.54,4.46,-5.921275336322871
4.74,2.42,3.22,2.7,-13.67999111111111
3.06,2.2199999999999998,1.1,1.6600000000000001,-4.501518072289157
2.7800000000000002,3.8200000000000003,3.86,3.46,-11.84729942196532
3.9,4.62,1.54,1.38,-20.107043478260874
4.9399999999999995,4.42,4.9,2.62,-40.83607633587786
1.82,2.74,3.74,3.42,-5.453401169590644
4.66,1.7,2.7,1.3,-16.453384615384618
