mom,B,h,omega
1.22,2.06,1.6600000000000001,19.025182306028597
3.62,1.58,2.9,24.784349436513356
3.34,2.62,2.46,44.701543078103356
3.18,3.34,4.54,29.398664222297718
1.1400000000000001,1.7,3.98,6.119001570509567
2.8600000000000003,4.9399999999999995,3.3,53.80082139027641
3.02,1.38,4.42,11.848779677014317
1.5,3.14,2.34,25.293848544287055
4.54,3.46,1.82,108.46020668054923
2.34,1.06,2.1799999999999997,14.297993427457108
1.1,1.3399999999999999,2.26,8.195942604232487
4.18,3.02,3.8200000000000003,41.52692044173414
4.46,2.94,4.34,37.96665392712516
2.06,2.02,4.74,11.031894810226031
1.42,1.22,1.02,21.343118090505715
3.06,1.1400000000000001,4.9,8.94623005125113
1.54,4.300000000000001,3.86,21.558162230126026
2.58,2.2199999999999998,4.300000000000001,16.738405658326414
1.3399999999999999,1.02,3.1,5.540553340550359
4.5,4.38,4.5,55.04070329089318
1.78,4.0600000000000005,2.1,43.2450700742147
2.14,2.54,1.9,35.95040216390038
1.6600000000000001,2.7800000000000002,3.18,18.236253808536073
3.3,4.62,2.2199999999999998,86.30039927320718
3.8200000000000003,1.94,3.7,25.16942144564674
2.26,1.26,2.3,15.558259548456165
4.74,2.9,4.62,37.38903256817775
2.74,3.66,1.22,103.29556645003241
4.58,3.7,2.62,81.27851772172922
1.18,1.9,2.14,13.16532846607162
2.94,4.26,3.14,50.12301023008917
2.62,1.8599999999999999,1.74,35.194504182698346
2.7,2.42,3.9,21.053503998518675
4.1,3.94,4.82,42.11559147393321
1.3,2.46,2.74,14.666880738949136
3.94,1.1,2.8200000000000003,19.312996539940656
2.02,4.140000000000001,3.02,34.79802787210692
2.5,4.54,1.46,97.69062087190179
4.62,2.1,2.58,47.25539833353205
4.34,3.86,1.3,161.93605159999274
2.8200000000000003,2.8600000000000003,2.66,38.10161363869535
3.9,3.62,1.62,109.51359279847085
4.82,1.3,3.46,22.757479268663175
4.26,4.98,1.94,137.41909242758092
2.66,1.54,4.1,12.555336727966077
1.58,2.8200000000000003,1.3399999999999999,41.78412008159607
4.38,4.42,4.18,58.20093505879135
2.54,4.82,2.02,76.16215948389925
1.26,4.78,2.42,31.27468468436464
1.38,1.78,4.66,6.624041368478942
2.42,1.74,3.06,17.292311563053463
2.3,3.5,2.98,33.94606827033266
2.1,2.66,1.8599999999999999,37.73964852247868
3.42,3.38,4.859999999999999,29.889345216820224
4.220000000000001,3.9,2.5,82.72693102844931
1.74,4.74,2.06,50.3118438247518
1.8599999999999999,2.58,1.7,35.47264664952164
2.9,1.5,3.22,16.97630812809391
1.82,1.82,1.58,26.344839255065395
2.1799999999999997,1.18,3.94,8.204500448826785
3.7,4.9,4.46,51.0825783045587
3.58,2.7,4.7,25.843944331573567
4.42,4.5,4.58,54.57316845406199
4.9399999999999995,4.7,2.94,99.2401336476841
3.54,4.1,3.62,50.38350914276493
2.46,2.98,1.1400000000000001,80.80837692960019
3.7800000000000002,2.26,2.7,39.759996623832414
3.98,2.38,3.38,35.21706775368516
1.46,1.42,1.1,23.684181416081305
1.06,2.5,4.38,7.602941125125985
2.98,3.7800000000000002,4.9399999999999995,28.654377560402324
3.74,4.02,4.98,37.93832709091712
4.7,4.58,3.54,76.41347283748462
4.0600000000000005,3.54,3.66,49.34669536005896
3.22,2.14,3.5,24.740670465550338
2.7800000000000002,3.42,1.18,101.25086885854346
1.94,4.66,4.0600000000000005,27.981531256663217
1.02,3.1,2.54,15.643647197875476
3.5,3.3,1.54,94.24777960769379
4.140000000000001,2.34,2.38,51.15040838809493
3.2600000000000002,4.46,1.26,145.00793824169574
1.9,2.1799999999999997,1.42,36.65486414413781
1.7,1.62,4.26,8.123893115480085
4.66,3.98,1.78,130.9359339946049
3.1,3.06,1.38,86.38013887522546
4.98,3.18,3.74,53.210179571453914
3.14,4.18,1.98,83.30107453918536
1.62,3.8200000000000003,3.34,23.28315206883243
3.86,3.22,1.5,104.12662242666202
2.2199999999999998,4.34,4.02,30.118026764982023
3.46,1.46,4.78,13.280392844246188
3.38,2.74,3.2600000000000002,35.69928574653471
4.9,2.3,4.220000000000001,33.55995185398764
4.02,3.58,2.8600000000000003,63.234328438325676
2.38,1.6600000000000001,4.140000000000001,11.992081406572515
4.859999999999999,3.2600000000000002,3.7800000000000002,52.67104483218544
1.98,1.98,3.42,14.405029051618042
4.300000000000001,3.74,1.06,190.65318133973986
4.78,4.859999999999999,2.7800000000000002,105.00965556404856
3.66,4.220000000000001,3.58,54.21511380248612
