p_d,Ef,t,h,omega,omega_0,prob
2.05,2.23,1.49,2.9699999999999998,2.94,1.9,11.747771386723787
2.5300000000000002,2.49,1.33,1.67,4.9,1.1400000000000001,1.804008252280734
2.01,2.21,2.81,1.37,4.26,2.3,1.0794634538099206
2.51,2.51,2.05,2.9299999999999997,4.38,1.42,0.03469534145629465
1.17,1.25,1.79,1.11,3.14,2.74,14.196204312008975
1.9300000000000002,2.9299999999999997,1.15,2.85,1.54,1.82,14.213534284002446
1.43,2.1100000000000003,1.11,1.4100000000000001,2.46,2.42,14.922132095427534
1.65,1.11,1.51,2.71,3.38,1.58,3.3183842588022774
2.0700000000000003,1.5899999999999999,2.4699999999999998,1.51,2.8200000000000003,4.42,7.31720798097441
2.33,1.55,1.75,2.77,4.98,1.18,0.0431321209823832
1.87,2.63,2.67,1.95,3.7800000000000002,1.02,0.8320934535934257
2.95,2.87,2.13,2.37,3.58,1.3,3.472454187944135
1.33,1.87,2.51,1.05,1.38,2.58,16.40147491255487
1.95,1.37,1.6099999999999999,1.19,4.140000000000001,1.8599999999999999,6.280348413603426
1.5899999999999999,1.21,2.9699999999999998,2.0300000000000002,3.7,1.98,0.8325961400691951
1.35,1.57,1.43,1.6099999999999999,2.02,3.34,8.707871940439356
2.39,1.69,1.21,2.1100000000000003,4.220000000000001,1.5,5.3442458440775065
1.85,2.01,1.53,2.6100000000000003,1.3,3.98,2.5651800162977088
1.4100000000000001,1.17,2.39,1.47,2.54,4.1,4.443700676186792
1.23,2.13,1.9100000000000001,2.41,2.2199999999999998,2.14,13.020742698389563
2.6100000000000003,2.71,1.95,2.05,1.18,4.18,0.22819399227498463
1.25,1.85,2.95,2.09,2.1,3.46,4.190669049693201
2.29,2.91,2.27,2.45,3.86,3.7800000000000002,38.68781927587548
1.03,2.79,1.03,2.81,1.9,4.74,3.057785859837617
2.75,1.49,1.5899999999999999,2.89,1.26,3.9,2.399368989017377
2.9699999999999998,1.13,2.77,2.31,1.02,4.98,0.4313870522351031
2.13,1.09,2.21,2.63,2.5,3.58,7.438204461621174
1.63,1.77,2.19,1.75,4.5,1.54,0.02135409193998006
2.31,1.67,1.45,1.53,1.46,1.94,22.05880443631984
2.91,1.4100000000000001,2.09,1.29,4.74,2.34,2.3275623390665925
1.51,2.4699999999999998,2.4299999999999997,2.83,3.2600000000000002,4.140000000000001,13.532335677500722
2.4699999999999998,1.75,2.75,1.9100000000000001,4.02,2.06,1.004275270931536
1.07,2.77,1.9300000000000002,1.65,1.3399999999999999,2.1,18.147030343081827
2.6500000000000004,2.95,1.8900000000000001,1.27,1.58,3.06,36.272470047235934
2.59,1.35,2.15,2.6500000000000004,1.7,4.38,0.14255770350612904
1.67,1.33,2.1100000000000003,1.43,4.9399999999999995,1.3399999999999999,0.5316615536507246
1.01,1.03,2.59,2.39,2.62,2.26,6.584846355945756
2.4299999999999997,1.83,1.35,1.17,4.7,2.8200000000000003,18.25115873024909
1.29,2.05,1.99,2.4699999999999998,2.38,2.7,12.940575677790257
1.21,1.27,1.77,1.9300000000000002,1.42,4.82,0.017093574523238043
1.13,1.23,1.55,2.35,1.98,1.06,4.847796256019185
2.25,1.95,1.23,1.03,3.74,4.7,29.268755796349495
1.05,2.4299999999999997,1.29,2.17,4.82,3.02,5.9479999265488415
2.45,2.35,1.01,1.49,3.42,1.78,19.403405708781218
2.23,2.0300000000000002,2.49,2.19,3.1,2.46,26.049464202948975
2.09,1.05,2.0700000000000003,2.5300000000000002,3.54,4.26,9.341813086314165
2.5700000000000003,1.71,1.27,1.55,2.42,3.22,20.744157505304486
1.31,2.85,2.83,1.83,3.98,3.14,22.10616161041339
1.27,1.81,2.01,2.87,2.7800000000000002,1.1,3.4994933873542546
1.77,1.07,2.9299999999999997,2.23,4.54,4.300000000000001,15.001308456893032
2.41,2.41,2.25,1.79,2.26,4.34,4.324368631244034
2.27,1.9300000000000002,2.63,1.25,2.66,3.3,45.4713004577446
1.37,1.79,1.85,1.21,4.66,3.74,18.392768091419335
1.9100000000000001,1.51,1.25,1.97,3.34,3.62,11.381408527294417
2.71,2.33,2.29,1.33,3.3,2.9,63.6659572123479
1.99,1.31,2.5700000000000003,1.3900000000000001,4.42,2.54,2.2860282245074584
1.79,2.09,2.17,1.09,4.300000000000001,4.66,44.46440291985274
1.6099999999999999,2.25,1.63,1.69,4.34,4.0600000000000005,21.57433260356097
1.8900000000000001,2.6500000000000004,1.13,1.45,3.66,2.5,21.20796121536904
1.97,2.17,2.99,1.85,1.82,2.94,15.31852319315832
2.67,2.15,2.0300000000000002,1.35,3.46,3.38,54.117428370046824
2.69,2.67,2.31,1.63,2.58,2.62,63.908521642085915
1.81,2.29,1.4100000000000001,1.5899999999999999,1.8599999999999999,4.859999999999999,3.7789892527280196
1.73,1.29,1.87,1.71,3.06,2.2199999999999998,12.429423440821392
2.73,1.65,2.71,2.55,1.78,4.54,0.6820646490352279
1.69,1.15,2.33,2.25,2.06,3.18,6.914367922673083
2.99,2.6100000000000003,2.5300000000000002,1.73,4.0600000000000005,2.66,21.958574241348707
1.71,1.45,1.3900000000000001,1.99,1.6600000000000001,3.94,4.3329497048278
1.47,1.99,1.65,1.8900000000000001,2.14,4.46,3.8841552427503983
2.49,1.8900000000000001,1.67,2.73,3.8200000000000003,1.62,4.989189592341759
2.15,1.19,1.83,2.27,2.9,3.1,12.81554469260191
1.53,2.5700000000000003,2.89,1.13,2.34,3.8200000000000003,9.819888306671269
2.81,1.47,2.91,2.29,4.18,3.5,23.529597757455484
2.87,2.0700000000000003,1.71,2.33,4.46,1.38,0.9353652643388218
1.57,2.69,1.05,2.49,4.62,1.26,3.463470755351514
2.63,1.53,1.57,1.81,1.5,2.1799999999999997,19.92505121738216
2.1100000000000003,2.45,1.73,1.23,3.18,4.220000000000001,34.61631046118541
1.09,2.75,2.6500000000000004,1.07,1.1400000000000001,4.9399999999999995,1.6549894456379581
1.45,2.99,2.73,2.69,1.22,3.7,0.14035680159948136
2.37,1.73,2.45,1.77,3.62,3.66,35.63030396163827
1.19,1.43,1.17,2.0700000000000003,1.62,1.46,6.025730916950191
1.83,2.89,1.31,2.21,2.74,2.02,18.279699673885837
2.85,2.83,2.69,2.79,3.02,2.7800000000000002,47.18696294389085
2.35,1.9100000000000001,2.41,2.91,2.7,3.86,11.59984747474916
2.17,1.97,1.69,1.31,4.859999999999999,4.78,34.598685257472646
2.77,2.27,1.47,2.75,4.78,2.38,6.53672038111823
2.89,2.55,2.55,1.15,3.9,4.58,79.3921534570594
1.55,2.59,2.37,1.57,2.1799999999999997,1.22,24.2380263479857
1.11,2.31,2.85,1.01,3.94,4.62,32.898980107672436
1.49,2.5300000000000002,2.87,2.13,2.3,3.2600000000000002,16.196861374441298
1.75,2.73,2.23,2.59,1.06,4.5,0.7187316954186226
2.9299999999999997,2.81,1.09,2.01,1.94,1.6600000000000001,27.83623695374339
1.3900000000000001,1.63,1.07,1.87,4.1,4.02,8.140652979064475
2.83,1.01,1.19,2.51,4.58,1.7,2.840895278677614
2.19,1.6099999999999999,1.37,2.15,3.5,3.42,14.102535069398558
1.15,2.9699999999999998,2.35,2.67,3.22,3.54,18.01470537213486
2.79,2.39,2.6100000000000003,2.95,1.1,4.9,1.4175148492100536
2.31,1.07,2.87,2.9699999999999998,2.74,4.54,0.6318194699287399
1.75,2.4299999999999997,2.91,2.6100000000000003,4.62,4.46,29.256124704188515
2.55,1.55,1.25,1.51,2.42,4.300000000000001,12.677118653807586
